NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,41.105,38.405,43.806,2,38.344,38.338,38.351,2
4,95.012,91.088,98.057,4,85.681,85.357,85.882,4
8,262.454,257.338,265.695,8,185.65,182.064,188.31,8
16,1208.389,1160.288,1242.559,16,1312.784,1255.352,1359.74,16
32,2172.765,2091.489,2217.242,32,1967.28,1936.031,1995.101,32
64,3131.478,3104.24,3167.89,64,3042.421,3013.628,3088.734,64
128,5139.71,5049.966,5173.625,128,4668.905,4634.439,4716.983,128
