NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,93.396,90.034,96.758,2,31.788,31.774,31.802,2
4,180.235,168.764,187.5,4,65.15,65.039,65.339,4
8,550.684,535.696,565.281,8,107.753,106.139,109.912,8
16,1457.404,1396.45,1496.095,16,579.643,566.795,599.748,16
32,2375.469,2188.804,2526.469,32,1066.059,1019.049,1140.126,32
64,2799.35,2541.986,2917.847,64,1496.422,1431.314,1557.088,64
128,5887.243,5809.887,6036.686,128,2019.514,1982.621,2047.698,128
