NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,4.972,4.846,5.098,2,1.436,1.435,1.437,2
4,18.081,17.812,18.284,4,5.074,5.003,5.142,4
8,132.288,119.844,144.101,8,27.742,25.769,31.12,8
16,180.52,173.522,185.409,16,43.725,41.347,46.035,16
32,300.888,286.103,318.892,32,97.607,93.964,102.8,32
64,496.698,478.786,511.728,64,209.638,201.7,215.801,64
128,1858.398,1778.582,1909.48,128,341.582,327.826,356.885,128
