NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,53.41,51.561,55.26,2,33.851,33.399,34.303,2
4,409.861,354.851,444.916,4,84.366,83.672,84.831,4
8,500.906,463.486,529.921,8,146.944,146.178,148.318,8
16,1481.362,1369.807,1608.785,16,370.756,360.16,377.422,16
32,2329.78,2081.55,2606.291,32,582.654,563.333,594.05,32
64,3927.565,3483.062,4199.381,64,1043.284,1023.177,1085.744,64
128,14748.712,14042.055,15393.625,128,2802.846,2679.692,2887.887,128
