NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,1.035,0.986,1.084,2,0.401,0.394,0.409,2
4,3.142,3.127,3.171,4,1.536,1.513,1.553,4
8,16.579,16.49,16.79,8,7.469,7.386,7.538,8
16,40.061,39.881,40.369,16,8.268,8.195,8.418,16
32,162.578,151.679,169.344,32,26.595,24.395,28.081,32
64,163.492,156.628,169.947,64,79.543,78.34,80.73,64
128,632.52,521.414,657.96,128,121.41,112.888,124.418,128
