NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,41.151,38.459,43.844,2,38.377,38.366,38.388,2
4,59.318,58.19,61.531,4,56.147,55.508,57.042,4
8,147.558,142.081,154.831,8,107.094,101.94,108.924,8
16,287.78,279.236,296.883,16,284.839,269.936,335.489,16
32,551.765,528.642,576.636,32,530.328,510.965,560.729,32
64,1182.609,1093.861,1212.906,64,1105.144,1063.59,1162.396,64
128,2314.291,2227.655,2368.209,128,2024.924,1857.902,2120.749,128
