NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,40.108,37.038,43.178,2,31.734,31.714,31.754,2
4,100.923,96.291,104.511,4,66.123,65.569,66.662,4
8,653.319,625.32,674.835,8,135.555,131.253,137.035,8
16,1438.809,1385.243,1480.068,16,724.34,668.0,772.04,16
32,2306.319,2090.188,2400.746,32,1071.346,1001.579,1205.944,32
64,3119.571,2786.725,3247.748,64,1521.019,1451.68,1652.856,64
128,5847.006,5687.501,5984.944,128,2017.272,1980.908,2049.118,128
