NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,1.015,1.013,1.018,2,0.505,0.496,0.514,2
4,4.676,4.616,4.718,4,1.912,1.724,2.031,4
8,9.991,9.038,10.463,8,2.67,2.612,2.831,8
16,49.246,44.413,50.697,16,11.933,11.628,12.279,16
32,207.88,188.623,231.721,32,28.765,27.022,33.761,32
64,329.157,287.191,347.148,64,188.216,170.115,194.754,64
128,740.299,640.157,781.548,128,373.503,367.874,392.647,128
