NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,2.084,1.925,2.243,2,1.653,1.647,1.66,2
4,5.904,5.784,5.98,4,8.347,8.262,8.459,4
8,28.883,19.802,30.948,8,17.657,17.384,17.856,8
16,70.841,52.512,76.196,16,33.565,32.565,35.236,16
32,198.835,180.974,224.966,32,177.576,173.868,194.682,32
64,382.623,355.983,407.574,64,381.047,352.05,403.497,64
128,709.797,600.505,785.907,128,605.553,564.827,627.092,128
