NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,40.262,39.5,41.024,2,31.871,31.851,31.891,2
4,52.52,51.197,53.036,4,35.26,35.141,35.543,4
8,132.077,128.296,134.804,8,44.933,43.431,45.673,8
16,217.265,208.518,222.515,16,57.912,57.271,59.347,16
32,462.123,436.953,479.43,32,125.288,116.299,130.164,32
64,723.082,676.791,760.991,64,260.909,249.8,340.024,64
128,2312.413,2213.368,2406.51,128,931.62,900.755,1036.715,128
