NumParties,Round1_Avg_Time_ms,Round1_Min_Time_ms,Round1_Max_Time_ms,Round1_Record_Count,Round2_Avg_Time_ms,Round2_Min_Time_ms,Round2_Max_Time_ms,Round2_Record_Count
2,1.732,1.72,1.745,2,2.537,2.464,2.61,2
4,5.914,5.751,5.998,4,5.689,5.613,5.744,4
8,17.747,17.38,18.004,8,37.525,37.366,37.774,8
16,51.081,38.428,52.669,16,43.175,42.055,44.72,16
32,116.514,106.734,125.776,32,126.219,121.134,129.289,32
64,261.872,242.376,275.81,64,227.69,216.263,242.732,64
128,552.522,453.174,569.571,128,462.166,442.082,484.189,128
